Start Time,Sortname,Location,CaO_AVG,SiO2_AVG,Al2O3_AVG,Fe2O3_AVG,MgO_AVG,NO.SO3.P_AVG,Na2O.P_AVG,K2O.P_AVG,TiO2_AVG,P2O5_AVG,Mn2O3_AVG,Cl_AVG,Cr2O3_AVG,LOI.P_AVG,NO.R45_AVG,WC_AVG,WR_AVG,SETINI_AVG,SETFIN_AVG,FLOW_AVG,R1,R3
2019-03-03 00:00:00,ESP+,NO.563.d,61.9481,23.7945,5.2594,3.2837,0.7896,2.4325,0.0962,0.8245,0.3152,0.355,0.0629,0.0103,0.0059,1.5,0.98,50.139999,26.15,110,205,114.0,14.56,28.139999
2019-03-03 00:00:00,ESP2,NO.563.d,59.2977,25.007299,5.1715,3.1362,0.7535,2.3138,0.0857,0.8228,0.3121,0.3423,0.0587,0.0106,0.0084,3.53,1.02,50.540001,26.92,115,218,110.0,12.64,26.129999
2019-03-04 00:00:00,ESP+,NO.630.d,61.493599,23.488199,5.0863,3.2889,0.7773,2.3878,0.091,0.8159,0.3044,0.3443,0.0571,0.0062,0.007,1.56,0.9,48.919998,26.0,114,203,110.0,16.030001,27.219999
2019-03-05 00:00:00,ESP+,NO.630.d,61.1861,23.3545,5.1103,3.2771,0.7772,2.3978,0.0872,0.7987,0.3056,0.3419,0.0608,0.0063,0.0062,1.52,0.79,48.779999,26.0,107,204,106.0,16.540001,30.07
2019-03-05 00:00:00,ESP2,NO.630.d,58.85,23.579,4.9592,3.1043,0.7522,2.4535,0.1234,0.8167,0.3053,0.3323,0.0595,0.0045,0.0058,3.81,1.11,50.0,26.459999,107,192,108.0,14.89,28.91
2019-03-06 00:00:00,ESP+,NO.630.d,60.8894,23.2761,5.0971,3.2292,0.7714,2.3992,0.0837,0.836,0.301,0.3443,0.0619,0.0088,0.0075,1.53,1.24,50.0,26.309999,102,226,105.0,15.69,28.530001
2019-03-06 00:00:00,ESP2,NO.561.d,58.045898,23.033701,4.9149,3.0528,0.7963,2.725,0.0908,0.8087,0.3036,0.3218,0.0917,0.0163,0.0088,5.09,2.62,51.080002,28.15,96,233,106.0,15.29,29.190001
2019-03-07 00:00:09,ESP+,NO.630.d,61.816502,23.2264,5.3608,3.2993,0.7888,2.497,0.1033,0.8287,0.3056,0.3704,0.0592,0.0077,0.0076,1.43,1.16,50.0,26.459999,108,183,107.0,15.19,29.52
2019-03-08 00:00:00,BOYT1,NO.630.d,49.032299,29.002899,5.0148,2.6322,0.6817,2.4407,0.0465,0.8348,0.3104,0.2801,0.0509,0.0055,0.0094,8.92,12.77,50.0,26.15,133,283,105.0,6.63,14.67
2019-03-08 00:00:00,ESP+,NO.630.d,60.937099,22.870399,5.2355,3.2457,0.7839,2.3771,0.0782,0.8077,0.3002,0.3538,0.0583,0.0053,0.0074,1.61,1.15,48.650002,26.15,107,194,109.0,15.38,29.469999
